"controller_name","feature_name","category","description","evidence","type","dependencies","Driver required","Remarks"
"TI KeyStone PCIe (PCIESS)","Dual-mode PCIe controller (RC and EP) with Gen1/Gen2 x1/x2 link","Interfaces","The PCI Express subsystem can operate as either a Root Complex (RC) or an End Point (EP). It supports a single bidirectional link with up to two lanes and data rates of 2.5 GT/s and 5.0 GT/s per lane. The core implements automatic lane reversal and dynamic width conversion for robust link bring-up. It complies with PCIe Base Specification 2.0 and exposes Type 0 or Type 1 configuration spaces accordingly. Well-defined initialization sequences for both RC and EP roles are provided for reliable startup.","Section 1.3; Section 1.4; Section 2.11.1/2.11.2; Section 1.6","Explicit","PCIe SerDes, reference clock, LTSSM enable","YES","Select the role via bootstrap (PCIESSMODE) or DEVSTAT then program capabilities before enabling LTSSM for training."
"TI KeyStone PCIe (PCIESS)","128-bit VBUSM master and slave internal bus interfaces","Interfaces","The PCIESS exposes one 128-bit VBUSM master port for inbound requests and one 128-bit VBUSM slave port for outbound transactions and register access. These ports bridge the PCIe fabric to the device interconnect for memory and peripheral access. The slave port is driven by CPU or DMA to originate outbound TLPs into PCIe space. The master port converts inbound TLPs into internal bus cycles with appropriate responses. Bus width, alignment, and ordering rules must be honored for correct operation.","Section 1.4.3; Section 2.9; Section 2.11","Explicit","Device interconnect and memory map","YES","Design DMA/CPU transactions to match bus constraints and consider QoS on the master port when mixing traffic."
"TI KeyStone PCIe (PCIESS)","Outbound address translation (32 regions of 1/2/4/8 MB)","Configuration","Outbound translation maps internal addresses to PCIe addresses for memory read/write TLPs. Thirty-two equally sized regions can be configured via OB_SIZE and each region remapped with OB_OFFSET_INDEXn/OB_OFFSETn_HI. Region index is derived from internal address bits that depend on the chosen region size. Both 32-bit and 64-bit PCIe addresses are supported with high/low fields. Transactions must not cross a translation region boundary to avoid undefined behavior.","Section 2.7.1; Registers 3.1.11, 3.1.80, 3.1.81","Explicit","OB_SIZE, OB_OFFSET_INDEXn, OB_OFFSETn_HI","YES","Size regions to cover windows precisely and avoid truncation of upper address bits during mapping."
"TI KeyStone PCIe (PCIESS)","Inbound address translation (4 regions tied to BARs)","Configuration","Inbound translation remaps accepted PCIe addresses into internal bus destinations for Address Space 1. Four regions are provided and each is associated with a BAR using IB_BARn, with start and offset registers defining the window. In 32-bit mode BAR0 targets application/register space and cannot be remapped, while BAR1–BAR5 feed the inbound translator. In 64-bit mode adjacent BAR pairs are used with high/low start address fields. Ordering of multiple start addresses enables mapping of non-contiguous windows into one region.","Section 2.7.2; Registers 3.1.82–3.1.97","Explicit","BAR configuration, IB_BARn, IB_STARTn_HI/LO, IB_OFFSETn","YES","Ensure BAR associations are consistent with EP/RC role and verify matches before enabling IB_XLT_EN."
"TI KeyStone PCIe (PCIESS)","BAR Mask registers for programmable BAR sizing and type","Configuration","The PCIESS overlays write-only BAR Mask registers on BARs to control requested size, type, and enable state prior to enumeration. Software enables mask access using CMD_STATUS.DBI_CS2, writes masks, verifies by test patterns, and then clears DBI_CS2. BAR0 mask is restricted because BAR0 is dedicated to application registers and only upper bits are configurable. BAR mask programming supports forming 32-bit or 64-bit BARs and enabling/disabling each BAR. This mechanism allows endpoints to steer host allocation without firmware changes.","Section 2.7.3.1; Registers 3.3.x/3.4.x BAR_MASK; CMD_STATUS.DBI_CS2","Explicit","CMD_STATUS.DBI_CS2, BARx/BARx_MASK","YES","Do not perform BAR mask writes from the serial link side; always write-readback DBI_CS2 and validate effects locally."
"TI KeyStone PCIe (PCIESS)","MSI interrupts generation and reception (RC and EP)","Interrupts","The controller supports Message Signaled Interrupts with up to 32 vectors per function. In EP mode, MSI is generated by a memory write to the programmed MSI address/data, which the RC interprets to raise the matching vector. In RC mode, MSI writes target the MSI_IRQ register to raise vector events internally. Per-vector enable and status exist in MSIn banks, with write-1-to-clear semantics and an IRQ_EOI to complete servicing. A function uses either MSI or legacy INTx, not both simultaneously.","Section 2.14.2/2.14.5; Registers 3.1.16, 3.1.24–3.1.55, 3.6.x","Explicit","MSI_CAP, MSI_LOW32/UP32, MSI_DATA, MSI_IRQ, MSIn_*","YES","Program MSI address/data during enumeration and clear both status and IRQ_EOI to prevent missed retriggers."
"TI KeyStone PCIe (PCIESS)","Legacy INTx support (EP generation, RC reception)","Interrupts","As an EP, the PCIESS can assert and deassert legacy INTA/B/C/D using EP_IRQ_SET/CLR once legacy mode is enabled. As an RC, it receives INTx messages and exposes per-pin raw/enabled status and enable/clear controls. Only one legacy interrupt can be pending at a time and messaging introduces delivery latency uncertainty. EOI handling must account for ordering between deassert arrival and end-of-interrupt writes. INTx pin selection is configured in configuration space for software routing.","Section 2.14.2.1; 2.14.5.1; Registers 3.1.17–3.1.19, 3.1.56–3.1.71, 3.3.24/3.4.18","Explicit","EP_IRQ_SET/CLR/STATUS, LEGACY_* regs, INT_PIN","YES","Probe device state before EOI to avoid retrigger from late deassert; prefer MSI for higher performance and scalability."
"TI KeyStone PCIe (PCIESS)","Advanced Error Reporting (AER) and baseline PCIe error handling","Error handling","Baseline PCI/PCIe error reporting is provided through STATUS_COMMAND and DEV_STAT_CTRL enables. Advanced Error Reporting adds detailed correctable/uncorrectable status, masks, severity selection, and header logging. ECRC generation and checking are supported and controllable in the AER control register. Root ports can route errors to system error signaling and capture the reporting device ID. Software configures masks and severity based on application criticality and platform policy.","Section 2.16; Registers 3.2.3, 3.7.4, 3.8.x","Explicit","PCIE_UNCERR*, PCIE_CERR*, PCIE_ACCR, ROOT_ERR_*","YES","Disable ECRC if the partner lacks support; use header logs for triage and clear sticky bits by writing 1 per spec."
"TI KeyStone PCIe (PCIESS)","Power management device states (D0/D1/D2/D3hot/D3cold)","Power","The PCIESS supports the standard PCI power states through its PM capability structure. D0 uninitialized transitions to D0 active after enumeration and enabling memory or I/O spaces plus Bus Master if used. D1 and D2 are optional low-power states and require software to quiesce in-flight transactions before entry. D3hot preserves configuration access while D3cold removes power and requires a fundamental re-initialization. PME generation and enable controls are provided in PM_CTL_STAT to wake the system when supported.","Section 2.15.1; Registers 3.5.2 (PMCAP), 3.5.3 (PM_CTL_STAT)","Explicit","System power domain, PMCAP/PM_CTL_STAT","YES","Coordinate state changes with drivers to stop TLPs and set NO_SOFT_RST as needed when resuming from D3."
"TI KeyStone PCIe (PCIESS)","Active State Power Management (ASPM) L0s/L1 and link power states","Power","Hardware supports autonomous ASPM-managed transitions to L0s and L1 to reduce link power. Software may also drive link into L1 based on device D-state changes per the standard. L2 is not supported, and L3 is full power-off requiring power and reference clock reassertion plus reset. Entry and exit latencies and control bits are available for tuning, and valid D-state versus link-state combinations are documented. Proper configuration reduces power without hurting link reliability.","Section 2.15.2; Table 2-11; Registers 3.7.6 (ACTIVE_LINK_PM), 3.9.5 (ACK_FREQ)","Explicit","COMMON_CLK_CFG, ASPM bits, timers","YES","Enable ASPM only when the platform uses a common reference clock and SSC conditions are met for quick recovery."
"TI KeyStone PCIe (PCIESS)","Clocking and reference clock control with common clock support","Power/clock","The PHY consumes a differential REFCLK that the internal SerDes PLL multiplies to a fixed 2.5 GHz line clock. Gen2 operation is achieved by data path width conversion, keeping PLL output constant across speeds. Common-clock operation is recommended and indicated via LINK_STAT_CTRL.COMMON_CLK_CFG when both ends share REFCLK. Spread Spectrum Clocking requires a shared reference clock for compliance. PCIESS registers are only reliable once the SerDes PLL has locked and reported stable status.","Section 2.2; Section 2.3; Registers PCIE_SERDES_CFGPLL/STS, 3.7.6.COMMON_CLK_CFG","Explicit","External REFCLK, PCIE_SERDES_CFGPLL/STS","YES","Program ENPLL/MPY, delay for regulator/lock, check LOCK, then enable LTSSM; set COMMON_CLK_CFG when clocks are shared."
"TI KeyStone PCIe (PCIESS)","SerDes PLL and lane configuration (KeyStone I)","Configuration","The SerDes macro is configured via chip-level registers to enable the PLL, select multiplication, and set VCO range and sleep. Per-lane controls configure TX/RX loopback, polarity inversion, adaptive equalization, and CDR mode. Status per lane reports receiver detect, loss-of-signal, symbol alignment, and test failures to aid bring-up. Reference clock multiplication maps refclk to a consistent internal rate regardless of Gen1/Gen2 selection. Initialization sequences require enabling PLL, waiting stabilization, and confirming LOCK before LTSSM.","Section 2.3.1–2.3.3; Registers PCIE_SERDES_CFGPLL, PCIE_SERDES_STS, SERDES_CFG0/1","Explicit","Kicker-unlocked chip CFG, REFCLK source","YES","Match CDR settings to SSC/common-clock; always unlock chip CFG space before writes and verify LOCK prior to training."
"TI KeyStone PCIe (PCIESS)","PIPE and PHY loopback modes for validation","Debug","The controller supports link-layer (PIPE) loopback with roles of loopback master or loopback slave for symbol-level testing. In RC mode, software sets LPBK_EN and either retrains the link or forces the recovery state to enter loopback. PHY loopback uses SerDes RX/TX loopback bits to route TX internally back to RX, allowing TLP loopback without a partner. Additional precautions include disabling BAR matches and base/limit overlaps to ensure packets return to the master port. Entering loopback before traffic avoids sequence number mismatches and dropped TLPs.","Section 2.12; Registers 3.9.6 (PL_LINK_CTRL), PL_FORCE_LINK, SERDES_CFG0/1","Explicit","SerDes configuration and PLINK controls","YES","Use RC mode for PHY loopback, set LINK_STATE to POLL_ACTIVE, and avoid BAR0 targets during test traffic generation."
"TI KeyStone PCIe (PCIESS)","Endian conversion engine (big/little) with programmable swizzle","Configuration","While the PCIe core is little-endian on the pins, the subsystem supports big-endian systems using a byte-swap engine. Separate swizzle modes exist for inbound and outbound directions with 1-, 2-, 4-, or 8-byte swap boundaries. Byte enables are swapped consistently with data, and 32-bit MMR/non-prefetchable accesses remain on 32-bit boundaries. The ENDIAN register selects behavior, and tables define exact lane permutations. Correct configuration preserves data coherency across CPU and PCIe domains.","Section 2.10.2; Tables 2-8/2-9; Register 3.1.13 (ENDIAN)","Explicit","ENDIAN register, system endian mode","YES","Coordinate endianness among DMA, software, and PCIe endpoints; verify by pattern tests on both directions."
"TI KeyStone PCIe (PCIESS)","TLP attribute control: No Snoop and Relaxed Ordering","Configuration","Global attributes for outbound TLPs can request No Snoop and Relaxed Ordering via TLPCFG. These affect caching and ordering behavior in the RC, switches, and endpoints and may impact correctness if misused. Device status/control also exposes related reporting enables for compliance with software policy. In RC systems requiring strict order, relaxed ordering should be disabled to prevent reordering hazards. These attributes complement transaction size and alignment rules to maintain determinism.","Section 2.14.5.1 (ordering note); Registers 3.1.6 (TLPCFG), 3.7.4 (DEV_STAT_CTRL)","Explicit","TLPCFG, DEV_STAT_CTRL","YES","Use No Snoop only for explicitly uncached regions and clear RELAXED in RC when ordering is critical."
"TI KeyStone PCIe (PCIESS)","Initialization sequences for RC and EP with LTSSM gating","Configuration","Structured sequences cover power/clock setup, mode selection, SerDes PLL programming, and configuration register writes. LTSSM is kept disabled until clocks are stable and configuration complete to ensure deterministic bring-up. RC flow then proceeds to enumeration of downstream ports and resource allocation. EP flow may use APP_RETRY_EN to NAK configuration accesses until software completes programming. Successful training to L0 is indicated by DEBUG0.LTSSM_STATE = 0x11 for both roles.","Section 2.11.1.1; 2.11.2.1; Registers CMD_STATUS (LTSSM_EN/APP_RETRY_EN), DEBUG0","Explicit","PSC power, SerDes PLL, CMD_STATUS","YES","Gate LTSSM until PCIE_SERDES_STS.LOCK=1 and EP configuration is finalized; clear APP_RETRY_EN when ready."
"TI KeyStone PCIe (PCIESS)","Transaction constraints: size, alignment, burst type, byte strobes","Performance","Outbound transactions must be 128 bytes or smaller and 8-byte aligned for full payload use. If a write starts misaligned, the maximum size reduces to 120 bytes to maintain bus rules. Only incremental bursts are supported, and fixed or wrap bursts can cause unspecified behavior or lockups. Inbound reads that cross 128-byte boundaries may be split by the master interface. Write byte enables must form a single contiguous string of ones without holes for any transfer.","Section 2.10.1.2–2.10.1.5","Explicit","Internal bus protocol, DMA/CPU masters","YES","Configure DMA descriptors for 128B-aligned, incremental bursts and ensure contiguous write strobes."
"TI KeyStone PCIe (PCIESS)","Port Logic controls: link enable/reset, ACK frequency, lane skew and timers","Performance","Port Logic registers provide controls for LTSSM gating, loopback, scrambling, and directed resets. ACK Frequency and NFTS fields tune DLLP ack pacing and training behavior for a given channel condition. Lane skew insertion and flow control/ACK disable are available for lab characterization and interoperability testing. Symbol-number modifiers adjust replay, watchdog, and latency timers to aid margining. These knobs can optimize bring-up and help diagnose marginal channels when used judiciously.","Registers 3.9.3–3.9.10 (PL_LINK_CTRL, ACK_FREQ, LANE_SKEW, SYM_NUM, SYMTIMER_FLTMASK, FLT_MASK2)","Explicit","PL_* registers active post-PLL","YES","Limit such tuning to validation; set production values per compliance recommendations and platform SI results."
"TI KeyStone PCIe (PCIESS)","Debug and diagnostics (LTSSM state, DIAG_CTRL error injection)","Debug","DEBUG0/DEBUG1 expose PIPE data, training indicators, negotiated parameters, and the current LTSSM state. Appendix A defines the encoded LTSSM state values for precise state-machine tracing. DIAG_CTRL enables one-shot ECRC and LCRC inversion to inject checkable errors for validation. Additional signals such as idle detect, TS reception, and lane reversal assist bring-up analysis. These facilities accelerate root-cause analysis of link and protocol issues without external analyzers.","Registers 3.9.11/3.9.12 (DEBUG0/1); Appendix A; 3.1.12 (DIAG_CTRL)","Explicit","DEBUG*, DIAG_CTRL","YES","Use CRC inversion and filter masks only in controlled tests; log LTSSM state transitions to correlate with training events."
"TI KeyStone PCIe (PCIESS)","Reset and power-domain control with hot reset support","Power","The design supports hardware cold/warm resets and software-initiated downstream hot resets. Soft reset preserves sticky bits and certain PM logic, while hard reset resets the whole PCIESS. Power domain cycling via the PSC fully resets the module, and software must first quiesce all link traffic. After any reset, spec-defined delays must elapse before accesses, and link training must be restarted. PM/Reset interrupts notify software of events such as link-requested reset or PM_TURNOFF/ACK messages.","Section 2.13; 2.13.3; Registers 3.1.7 (RSTCMD), 3.1.76–3.1.79","Explicit","PSC (power/sleep controller), RSTCMD, PMRST_*","YES","Stop both outbound and inbound flows before power cycling; wait ≥100 ms after reset before initiating new transactions."
"TI KeyStone PCIe (PCIESS)","Link and device capability configuration including Gen2 features","Configuration","The PCIe Capability space exposes link/device capability, status, and control including max payload, read request size, and acceptable latencies. Link Control 2 and PL_GEN2 provide directed speed change to Gen2, selectable de-emphasis, TX swing, and target speed control. Negotiated width and speed are latched in LINK_STAT_CTRL after training. Root control registers enable PME interrupt routing and SERR mapping to platform error reporting. These registers let software match electrical settings and policy to the platform and channel.","Registers 3.7.2–3.7.6; 3.7.9–3.7.13; 3.9.13 (PL_GEN2)","Explicit","PCIE_CAP, DEVICE_CAP, LINK_*CTRL, LINK_CTRL2, PL_GEN2","YES","Program target speed/de-emphasis coherently on both ends and verify negotiated values before starting high-throughput traffic."
