"controller_name","feature_name","category","description","evidence","type","dependencies","Driver required","Remarks"
"spruf95.pdf","32 GPIO pins in 2 banks","Interfaces","The module provides thirty-two general-purpose I/O signals organized as two banks of sixteen pins each. Each GPIO is addressable by number GP[0] through GP[31]. The banked organization maps bits 0–15 to Bank 0 and bits 16–31 to Bank 1 across shared 32-bit registers. All control and status are exposed through memory-mapped registers. This enables uniform software access to every pin.","1 Introduction p.8; 2.5 GPIO Register Structure p.10; Table/Notes on bit mapping p.10","Explicit","System memory map; GPIO base address from device data manual","NO","Plan software abstractions per bank to simplify masks and atomic writes."
"spruf95.pdf","Per-pin direction control (DIR01)","Configuration","Each GPIO can be individually configured as input or output using the DIR01 register. Writing 0 configures the pin as an output and writing 1 configures it as an input. Direction applies per bit n corresponding to GP[n] across both banks. Reset values may vary per pin and must be verified before relying on defaults. Reading DIR01 returns the configured directions.","3.3 GPIO Direction Registers (DIR01) p.18","Explicit","PSC clock enabled; PINMUX set to GPIO for selected pins","YES","Initialize DIR01 before driving outputs and reapply after resets or power transitions."
"spruf95.pdf","Output data control (OUT_DATA01)","Configuration","For pins configured as outputs, the OUT_DATA01 register holds the driven level. Writing a 1 to a bit drives the corresponding pin high and writing a 0 drives it low. Reading OUT_DATA01 returns the output register contents rather than the pin input state. Use care with read-modify-write sequences if multiple contexts may write this register. Prefer atomic set/clear registers when changing subsets of bits.","3.4 GPIO Output Data Register (OUT_DATA01) p.19","Explicit","DIR01 configured for outputs; PSC clock enabled","YES","Avoid race conditions by minimizing read-modify-write cycles on OUT_DATA01."
"spruf95.pdf","Atomic set and clear outputs (SET_DATA01/CLR_DATA01)","Performance","The SET_DATA01 and CLR_DATA01 registers provide atomic set-on-1 and clear-on-1 operations respectively. Writing a 1 to SET_DATA01[n] drives GP[n] high without affecting other bits. Writing a 1 to CLR_DATA01[n] drives GP[n] low without affecting other bits. Reading these write-only paths returns zero, ensuring idempotent writes. These registers are preferred for concurrent contexts requiring atomic bit manipulation.","3.5 SET_DATA01 p.20; 3.6 CLR_DATA01 p.21","Explicit","DIR01 configured for outputs; PSC clock enabled","YES","Use SET/CLR operations to avoid read-modify-write hazards and to improve ISR responsiveness."
"spruf95.pdf","Synchronized input sampling (IN_DATA01)","Interfaces","The IN_DATA01 register returns the synchronized sampled state of all GPIO pins. Inputs pass through internal synchronizers to mitigate metastability when sampling asynchronous signals. IN_DATA01 reports pin levels regardless of the DIR01 setting. This allows software to confirm output levels or read inputs uniformly. Very narrow pulses shorter than the synchronizer window may not be captured reliably.","3.7 IN_DATA01 p.22; Architecture block diagram p.9","Explicit","PSC clock enabled; External signal integrity maintained","NO","Add external conditioning or software filtering if pulse capture requirements exceed synchronizer capability."
"spruf95.pdf","Per-pin rising-edge interrupt enable","Interrupts","Rising-edge detection can be enabled per GPIO using the SET_RIS_TRIG01 register and disabled using CLR_RIS_TRIG01. When enabled, a rising transition on the pin latches an interrupt event. The enable state can be read back from the SET register to confirm configuration. Software should clear any stale status prior to enabling edges to avoid false triggers. Combine with bank enable and CPU interrupt routing to receive events.","3.8 SET_RIS_TRIG01 p.23; 3.9 CLR_RIS_TRIG01 p.24; 2.10 Interrupt Support p.12","Explicit","BINTEN bank enable; CPU interrupt mux/event combiner configured","YES","Initialize edge enables only after clearing INTSTAT01 to ensure a clean start."
"spruf95.pdf","Per-pin falling-edge interrupt enable","Interrupts","Falling-edge detection can be enabled per GPIO using SET_FAL_TRIG01 and disabled using CLR_FAL_TRIG01. When enabled, a high-to-low transition latches an interrupt event. The enable state can be read from the SET register, while the CLR register disables specific bits. Enabling both edges allows toggle detection on the same pin. Manage status and debouncing in software to prevent repetitive interrupts.","3.10 SET_FAL_TRIG01 p.25; 3.11 CLR_FAL_TRIG01 p.26; 2.10 Interrupt Support p.12","Explicit","BINTEN bank enable; CPU interrupt mux/event combiner configured","YES","Consider software debounce when both edges are enabled to avoid chatter."
"spruf95.pdf","Bank-level interrupt enable (BINTEN)","Interrupts","The BINTEN register enables or disables aggregated interrupt generation per GPIO bank. Setting EN_BANK0 or EN_BANK1 asserts the bank’s interrupt output when any enabled edge occurs. Bank aggregation reduces interrupt line usage and is compatible with event routing. Proper configuration of the CPU interrupt mux or event combiner is required to receive bank interrupts. Disable banks not in use to reduce spurious handling.","3.2 BINTEN p.17; 2.10.5 Interrupt Multiplexing p.13","Explicit","CPU interrupt mux/event combiner configured","YES","Use bank-level enables in conjunction with per-pin edge masks for fine-grained control."
"spruf95.pdf","Interrupt status and write-1-to-clear (INTSTAT01)","Interrupts","INTSTAT01 indicates which GPIOs have a latched interrupt event. Software must write a 1 to the asserted bits to clear the corresponding latched events after servicing. Reading this register in the ISR identifies the source pin when using banked interrupts. Clearing status promptly prevents interrupt storms and missed subsequent edges. Always clear stale status before enabling new edge configurations.","3.12 INTSTAT01 p.27; 2.10 Interrupt Support p.12","Explicit","None beyond module clock; ISR must service and clear","YES","Write-1-to-clear semantics require masking to avoid clearing unrelated bits."
"spruf95.pdf","EDMA event support from GPIO","DMA / buffering","GPIO interrupt sources can generate EDMA events, typically one per bank. EDMA can be used to log events, timestamp transitions, or trigger data movement without CPU polling. There are no internal FIFO buffers within the GPIO module; events are edges latched in status. Proper EDMA channel mapping is required per system event assignment. Use EDMA for deterministic handling of frequent GPIO events.","2.11 EDMA Event Support p.14; Architecture block diagram p.9","Explicit","EDMA controller configured; System event mapping; BINTEN and edge enables set","YES","Map EDMA events to low-latency channels when servicing high-rate GPIO edges."
"spruf95.pdf","Pin multiplexing requirement","Configuration","Many device pins are multiplexed between GPIO and other peripheral functions. The system PINMUX registers must be configured to select GPIO functionality on the desired pins before use. Failing to configure PINMUX will result in no GPIO control or readback on those pins. Reapply PINMUX after resets or power domain transitions as required by the device. Coordinate with board design to avoid conflicts with alternate functions.","2.3 Pin Multiplexing p.9; Signal Descriptions p.9","Explicit","System PINMUX configuration; Board-level function assignments","YES","Centralize PINMUX setup during early system initialization for consistency."
"spruf95.pdf","Clock and power management via PSC","Power","The GPIO module is subject to the device clock and power management controlled by the PSC. The module clock must be enabled before accessing GPIO registers. Power or clock gating may require reinitialization of all GPIO configurations after transitions. The I/O supply domain determines valid logic levels and must be powered for reliable operation. Consult the device data manual for PSC module IDs and sequences.","2.1 Clock Control p.9; 2.12 Power Management p.14","Explicit","PSC enable sequence; I/O power good; System reset sequencing","YES","Guard register accesses with PSC state checks to prevent bus errors."
"spruf95.pdf","Endianness-independent operation","Architecture","GPIO register behavior is independent of CPU endianness. Software can use the same bit positions for control and status in either endianness mode. This simplifies portable driver code across configurations. Bit-to-GP mapping remains consistent across banks. No special handling for endianness is required within the GPIO module.","2.4 Endianness Considerations p.10","Explicit","None","NO","Ensure higher-level memory operations still respect system endianness conventions."
"spruf95.pdf","No hardware debounce (software debounce required)","Error handling","The GPIO module does not provide built-in debounce filtering on inputs. Asynchronous or noisy signals may cause multiple edges to be detected. Software should implement time-based filtering or state validation to avoid false triggers. External hardware filtering can be added where needed for robust operation. Configure edge enables carefully to mitigate contact bounce effects.","Configuration and usage notes; 2.10 Interrupt Support p.12; 3.8–3.12 p.23–27","Inferred","Application-level debounce algorithm; Optional external RC or Schmitt conditioning","YES","Apply debounce in ISR or a deferred handler with hysteresis and lockout windows."
"spruf95.pdf","Interrupt multiplexing and event combiner integration","Interrupts","GPIO bank interrupts can be routed via the CPU interrupt mux or event combiner depending on system configuration. Proper routing is needed to connect bank outputs to CPU interrupt inputs. When using the combiner, software must demultiplex sources by reading INTSTAT01. This architecture scales to many GPIOs while conserving interrupt lines. Document the chosen routing to aid system bring-up and debug.","2.10.5 Interrupt Multiplexing p.13; 3.12 INTSTAT01 p.27","Explicit","CPU interrupt mux/event combiner configured; INTSTAT01 handling in ISR","YES","Provide an ISR template that reads INTSTAT01, services pins, and clears status."
"spruf95.pdf","Reset and power-transition reinitialization","Power","After device reset or when power domains are cycled, GPIO configuration may not be retained. Software must re-enable the module clock, reapply PINMUX, and reprogram direction, output levels, edge enables, and BINTEN. Any pending interrupt status should be cleared before re-enabling edges. This ensures predictable behavior after transitions. Sequence these steps early in system initialization.","2.12 Power Management p.14; 3.* Registers p.15–27","Explicit","PSC enable; PINMUX; DIR01/OUT/SET/CLR; Edge enables; BINTEN","YES","Centralize reinitialization in a single routine invoked after resets and power events."
"spruf95.pdf","Bit-to-pin mapping and register naming convention","Architecture","Shared 32-bit registers with the suffix “01” control both banks of GPIO pins. Bits 0 through 15 correspond to GP[0] through GP[15] in Bank 0, and bits 16 through 31 correspond to GP[16] through GP[31] in Bank 1. This mapping applies uniformly across direction, data, trigger, and status registers. Consistent naming simplifies code generation and masks. Verify masks carefully when operating across banks.","2.5 GPIO Register Structure p.10; Register quick reference p.15","Explicit","None","NO","Maintain constants for bank masks (0x0000FFFF and 0xFFFF0000) to reduce errors."
"spruf95.pdf","Emulation and debug considerations","Debug","Halting the CPU via JTAG does not automatically mask GPIO interrupts. Pending status may accumulate during halt and should be cleared in a controlled way on resume. Single-stepping code that writes output or set/clear registers can unintentionally toggle pins. Coordinate debug sessions with hardware safety constraints. Update edge enables as part of debug entry/exit procedures.","2.13 Emulation Considerations p.14","Explicit","Debug environment configuration; ISR awareness during halt/resume","NO","Provide a debug-safe mode that disables edges and forces known output states during bring-up."
"spruf95.pdf","Performance and atomicity guidance","Performance","Practical GPIO toggle speed is constrained by CPU store bandwidth and module clocking. For high-rate toggling, dedicated peripherals may be more appropriate than software bit-banging. Atomic set/clear operations reduce ISR latency and avoid race conditions compared to read-modify-write. Synchronizer latency contributes to input and interrupt response time. Design timing with these factors to meet system requirements.","Performance notes in Architecture p.9–14; 3.5–3.6 p.20–21","Inferred","System clock configuration; ISR execution budget","NO","Benchmark worst-case ISR latency and edge-to-service time under load."
"spruf95.pdf","Initialization sequence (recommended)","Configuration","A typical sequence enables the GPIO module clock, configures PINMUX, and sets DIR01 for each pin. Outputs are initialized using SET_DATA01 and CLR_DATA01 to drive known levels atomically. Interrupt use requires clearing INTSTAT01, enabling desired edges, and setting BINTEN for the relevant banks. CPU interrupt routing or event combiner must be configured. This sequence establishes deterministic startup behavior.","Initialization guidance consolidated from 2.1, 2.3, 2.10–2.12; 3.* p.15–27","Inferred","PSC enable; PINMUX; DIR01; EDGE enables; BINTEN; CPU mux","YES","Encapsulate initialization into a reusable function invoked during platform bring-up."
"spruf95.pdf","Security features (none in GPIO module)","Security","The GPIO module does not implement access control or security features. Any protection must be provided by system-level mechanisms outside the GPIO block. Software should assume all GPIO registers are accessible when the module clock is enabled. Consider broader system isolation if required. No secure modes are described for this peripheral.","Security note derived from module overview and register access model p.8–14","Inferred","System security fabric; MPU/Firewall if available","NO","Harden system by restricting register access at the SoC level when security is a concern."
"spruf95.pdf","Error handling and interrupt storm prevention","Error handling","Improper edge configuration or failure to clear INTSTAT01 can cause repeated interrupts. Software must clear latched status promptly and may temporarily disable edges during debounce. Reserved bits must be written as zero and preserved during read-modify-write. Robust ISRs should validate pin state via IN_DATA01 if needed. These practices reduce false triggers and missed events.","2.10 Interrupt Support p.12; 3.12 INTSTAT01 p.27; Notes on reserved bits p.15–27","Explicit","ISR policies; Edge masks; Masking strategy during debounce","YES","Implement lockout intervals and edge re-arming to control interrupt rates."
