"controller_name","feature_name","category","description","evidence","type","dependencies","Driver required","Remarks"
"KeyStone PCIe Module","Dual-mode operation (RC/EP)","Interfaces","Module supports operation as Root Complex or End Point selected by strap or DEVSTAT override. Mode impacts configuration access, I/O capability, and enumeration role. Behavior is consistent across POR and software overrides when permitted. This enables flexible system topologies with a single IP. Ensure mode is set before enabling link training.","DEVSTAT.PCIESSMODE; Strap PCIESSMODE[1:0]","Explicit","Strap pins; Device status register access; Reset sequencing","NO","Set mode prior to any LTSSM enable to avoid undefined negotiation states."
"KeyStone PCIe Module","Link width and speed (x1/x2, Gen1/Gen2)","Performance","Single link supports x1 or x2 operation at 2.5 or 5.0 GT/s per lane. Width cannot be split into two independent x1 links. Link training negotiates speed based on partner and SerDes configuration. Ensure PCB and refclk quality meet Gen2 requirements. Validate negotiated L0 parameters post-training.","PHY/SerDes description; LINK_CAP/LINK_STAT_CTRL in local config","Explicit","SerDes refclk quality; Lane routing; Partner capabilities","NO","Do not attempt bifurcation; only one downstream device is supported."
"KeyStone PCIe Module","Inbound address translation (IB windows)","Configuration","Up to four inbound regions translate PCIe BAR hits to internal bus addresses. Each region uses BAR select and START/OFFSET registers to define target mapping. Proper alignment and size constraints apply per region configuration. Configure before enabling LTSSM to accept host accesses safely. Use big-endian swap settings as needed.","IB_BARx @0x300..0x330; IB_STARTx_LO/HI; IB_OFFSETx","Explicit","BAR sizing on EP; Internal memory map; Endianness settings","NO","Validate no overlap across regions and mark targets as device memory."
"KeyStone PCIe Module","Outbound address translation (OB windows)","Configuration","Outbound windows map internal bus addresses to PCIe address space. Index and high registers program base and size for each region. Use for MMIO/DMA style host memory access from device. Configure attributes and ordering via TLPCFG as appropriate. Ensure remote target permits requested payload sizes.","OB_OFFSET_INDEXn/OB_OFFSETn_HI @0x200..","Explicit","Remote memory apertures; No-snoop/relaxed ordering policy","YES","Program minimal required windows to limit exposure and ease validation."
"KeyStone PCIe Module","Endianness byte swap","Configuration","Configurable byte swap supports big-endian and little-endian CPU integration. Separate inbound and outbound swap behaviors are defined with documented tables. Program early in initialization to match system endianness. Verify with test transactions before functional traffic. Avoid mixed settings across regions.","ENDIAN @0x38; Swap behavior tables","Explicit","CPU endianness; Software ABI; IB/OB window programming","NO","Use consistent swap policy across all regions to prevent silent data corruption."
"KeyStone PCIe Module","LTSSM control and status","Debug","Link training and status state machine can be enabled and observed. Software enables LTSSM and waits for L0 state to confirm link up. State encodings are provided to aid debug of training issues. Disable LTSSM during major reconfiguration. Record transitions during bring-up for triage.","CMD_STATUS.LTSSM_EN @0x04; DEBUG0.LTSSM_STATE","Explicit","Stable refclk; Proper SerDes settings; Partner presence","NO","Gate LTSSM until translations and capabilities are configured."
"KeyStone PCIe Module","MSI support","Interrupts","Module supports MSI reception in RC mode and MSI generation in EP mode. Multiple vectors are grouped with enable, status, and clear registers. Software must enable only used vectors and provide EOI on service completion. Configure capability structures in config space appropriately. Test with synthetic interrupts before enabling in production.","MSI*_IRQ_ENABLE_* @0x100–0x17C; MSI capability in local config","Explicit","SoC interrupt controller routing; Config space MSI capability","NO","Use separate ISR paths per-vector to simplify latency analysis."
"KeyStone PCIe Module","Legacy INTx support","Interrupts","Legacy INTA/B/C/D signaling is supported for backward compatibility. RC receives and services legacy interrupts with EOI write semantics. EP can generate legacy interrupts when MSI is unavailable. Latency and sharing constraints apply compared to MSI. Prefer MSI when supported by the host.","LEGACY_*_IRQ_ENABLE_* @0x188..; IRQ_EOI @0x50","Explicit","SoC interrupt mapping; Host legacy INT support","NO","Ensure deassert/EOI ordering to prevent interrupt storms."
"KeyStone PCIe Module","Power management ASPM L0s/L1","Power","Active State Power Management states L0s and L1 are supported. Entry and exit latencies depend on link partner and SerDes tuning. Deeper L2 state is not supported on the link. Software may advertise and enable ASPM via config space controls. Validate performance impact under traffic.","LINK_CAP/LINK_STAT_CTRL; PMCFG @0x24","Explicit","Partner ASPM capability; Clock gating policies","NO","Avoid enabling ASPM during early bring-up to reduce variability."
"KeyStone PCIe Module","PM/Reset events and signaling","Power","Module can transmit PM_TURNOFF and PME messages and report related events. Status and raw status registers expose power and reset event bits. Software should clear sticky status after handling. RC and EP roles differ in who initiates PM sequences. Logging these events aids low-power debugging.","PMCMD @0x20; PMCFG @0x24; PMRST_IRQ_STATUS(_RAW) @0x1D0/0x1D4","Explicit","System power controller policies; Host OS power management","NO","Gate traffic and quiesce DMA-like flows before PM turnoff."
"KeyStone PCIe Module","Downstream hot reset (RC)","Error handling","Root Complex can issue downstream hot reset to reinitialize link partners. Command register exposes reset trigger with flush indication. Use after error recovery or reconfiguration. Ensure graceful stop of in-flight transactions before assertion. Monitor LTSSM for recovery to L0.","RSTCMD @0x14 (INIT_RST, FLUSH_N)","Explicit","Proper quiesce of traffic; Partner reset tolerance","NO","Coordinate with driver stack to re-enumerate devices post-reset."
"KeyStone PCIe Module","ECRC generation and checking","Error handling","End-to-end CRC can be generated for outbound TLPs and checked for inbound. Enables strengthened data integrity across the link when host supports it. Configuration may be global or per-TLP attribute via capability. Balance integrity needs with performance overhead. Verify interoperability with link partner.","PCIe capability/DEV_STAT_CTRL fields; TLPCFG attributes","Explicit","Host ECRC policy; Firmware configuration sequencing","NO","Enable only after basic functionality is validated."
"KeyStone PCIe Module","Max payload and request sizes","Performance","Outbound max payload is 128 B and inbound 256 B with remote read request size up to 256 B. Settings interact with link partner capabilities negotiated in config space. Oversized requests may be split or rejected per PCIe rules. Tune sizes for throughput and latency trade-offs. Validate under stress traffic.","DEVICE_CAP/DEV_STAT_CTRL; DEV_CAP2/DEV_STAT_CTRL2","Explicit","Partner advertised capabilities; Memory target alignment","NO","Use conservative defaults when interoperability is uncertain."
"KeyStone PCIe Module","Remote configuration access window","Configuration","Software can access remote Type 0 or Type 1 configuration spaces through a programmable window. A setup register defines BDF and type prior to issuing config TLPs. Accesses must be 32-bit, single, non-burst, and non-cacheable. Use for enumeration and capability discovery. Implement back-off on completion timeouts.","CFG_SETUP @0x08; Config window mapping","Explicit","Bus topology knowledge; Non-cacheable MMIO mapping","NO","Avoid speculative reads; fence CPU before and after accesses."
"KeyStone PCIe Module","Local configuration space (Type0/1)","Configuration","Module exposes a standards-compliant local configuration space. Contents include PCI and PCIe capability structures to advertise features. Access path uses a documented offset from module base. Initialize device IDs, class codes, and BARs as required for role. Keep writes aligned and single-beat.","Local config base + 0x1000 offset; Capability list","Explicit","Proper strap-based role; System ID assignments","NO","Lock configuration after link-up to prevent enumeration instability."
