"controller_name","feature_name","category","description","evidence","type","dependencies","Driver required","Remarks"
"TMS320C6452 DSP GPIO","GPIO pin banking (2x16) with up to 32 GPIO signals","Architecture","The controller exposes up to 32 GPIO signals grouped into two banks of 16 pins each. Control registers are organized as 32-bit words addressing paired banks, with bit positions mapping directly to pin numbers. This banking simplifies simultaneous configuration and status reads. The mapping convention uses register_name01 and bit fields per pin. The structure supports scalable per-pin control while enabling bank-level operations.","Section 2.2; Section 2.5; Table 1","Explicit","Pin multiplexing configuration; PSC clock enable","YES","Use Table 1 to map each GP[x] to its bank/bit when building register masks."
"TMS320C6452 DSP GPIO","Pin multiplexing control for GPIO function selection","Configuration","GPIO pins share package balls with other peripheral functions and require pin-mux configuration. Multiplexing is set by a combination of hardware configuration at reset and software-programmable registers. Correct muxing is a prerequisite before GPIO registers affect external pins. Device-specific data manual must be consulted for exact mux settings. Misconfiguration will leave pins under alternate peripheral control.","Section 2.3","Explicit","Device-specific PINMUX registers; Boot-time strap; PSC enable","YES","Apply pin-mux early in initialization before setting DIR/OUT registers."
"TMS320C6452 DSP GPIO","Clock gating via PSC (input clock CPU/6)","Power/Clock","The GPIO peripheral clock is disabled by default and must be enabled through the local Power and Sleep Controller (PSC). Once enabled, the GPIO module clock runs at CPU/6. Without clock enable, register accesses will not function and interrupts/events will not be generated. Power sequencing must respect PSC procedures. Clock control impacts interrupt edge synchronization and input sampling.","Section 2.1","Explicit","PSC module for GPIO; System clock configuration","YES","Gate the clock only after pin-muxing and before functional configuration to avoid spurious edges."
"TMS320C6452 DSP GPIO","Endianness independence of GPIO operation","Architecture","GPIO logic and register semantics are independent of CPU endianness. Software can use the same bit positions and fields in either endian mode. This reduces portability concerns across builds. No byte-lane swapping is applied within the GPIO register block. Behavior is identical for LE and BE configurations.","Section 2.4","Explicit","NONE","NO","Common driver code can be shared across endian builds without conditional handling."
"TMS320C6452 DSP GPIO","Per-pin direction control with default input state","Configuration","Each GPIO pin direction is controlled per-bit using DIR01, with 1 configuring input and 0 configuring output. All pins default to inputs after reset. Outputs only drive when DIRn is cleared. Reads to DIR provide current configuration and should be used to avoid unintended drive conflicts. Direction settings apply independently to both banks.","Section 3.3 (DIR01)","Explicit","PSC clock enable; Pin multiplexing","YES","Always set DIR before changing output data to prevent glitches."
"TMS320C6452 DSP GPIO","Output control via SET_DATA, CLR_DATA, and OUT_DATA","Configuration","Outputs can be driven high using SET_DATA01 and low using CLR_DATA01, enabling atomic set/clear without read-modify-write. OUT_DATA01 provides a combined write/read view for bulk updates and reflects the register value, not necessarily the external pin. Using separate set/clear allows multiple software contexts to manipulate bits without critical sections. Writes to output registers have no effect on pins still configured as inputs. Read-backs should use IN_DATA01 to observe actual external level when needed.","Section 1.2; Section 2.6.2; Sections 3.4–3.6","Explicit","DIR01 configured for output; PSC clock enable","YES","Prefer SET/CLR for concurrency; reserve OUT_DATA read-modify-write for controlled single-context updates."
"TMS320C6452 DSP GPIO","Input sampling via IN_DATA with clock-domain synchronization","Interfaces","IN_DATA01 returns the synchronized state of input pins to the GPIO clock. For pins configured as outputs, IN_DATA01 returns the device-driven level on the pad. This ensures clean sampling aligned with the module clock domain. For open-drain or wired-logic scenarios, IN_DATA01 reports the resolved external level. Use this register for debouncing in software if required.","Section 2.7.2; Section 3.7","Explicit","PSC clock enable; External pull-ups/pull-downs as applicable","YES","Poll IN_DATA01 for status or use interrupts for edge-driven behavior depending on latency needs."
"TMS320C6452 DSP GPIO","Per-bank interrupt/event enable (BINTEN)","Interrupts","Interrupts and EDMA events from GPIO are enabled per bank via BINTEN bits EN0 and EN1. Enabling a bank permits all its pins to act as interrupt sources to the DSP CPU. Disabling a bank masks both interrupt and EDMA event signaling. Bank mapping corresponds to pins 0–15 and 16–31 respectively. Additional CPU-level routing is device-specific.","Section 2.10.2; Section 3.2","Explicit","CPU interrupt controller configuration; EDMA event mapping; PSC clock enable","YES","Enable only the banks in use to reduce unintended wakeups and ISR load."
"TMS320C6452 DSP GPIO","Configurable edge triggering per pin (rise, fall, both)","Interrupts","Each pin supports independent edge selection using SET_RIS_TRIG/CLR_RIS_TRIG and SET_FAL_TRIG/CLR_FAL_TRIG. Rising-only, falling-only, both edges, or disabled can be programmed per bit. Edge detection is synchronized to the GPIO module clock to avoid metastability. Direction does not need to be input for edge event generation, enabling software-driven test interrupts. Proper pairing of set and clear operations defines the final edge configuration.","Section 2.10.3; Sections 3.8–3.11","Explicit","BINTEN enable for the bank; CPU interrupt controller; PSC clock enable","YES","Write the complementary CLR register when selecting a single edge to avoid unintended both-edge configuration."
"TMS320C6452 DSP GPIO","Interrupt status with write-1-to-clear (W1C)","Interrupts","Pending GPIO interrupts are indicated per pin in INTSTAT01 with a logic 1. Software clears a latched interrupt by writing a 1 back to the corresponding STAT bit; writing 0 has no effect. For direct CPU-routed GPIO interrupts, CPU-side flags may also be read. For bank interrupts, software must consult INTSTAT01 to identify the source pin. Robust ISRs should read, service, and W1C clear all asserted bits.","Section 2.10.4; Section 3.12","Explicit","CPU ISR; BINTEN enable; Edge trigger configuration","YES","Read-modify-write is not required for W1C fields; write only the bits to be cleared to avoid disturbing others."
"TMS320C6452 DSP GPIO","GPIO events as EDMA synchronization sources","DMA/Buffering","All GPIO signals can generate events that synchronize the Enhanced DMA (EDMA) engine. This enables hardware-triggered transfers based on external edges. The enable control shares BINTEN bits with interrupt masking. Event-to-channel mapping details are device-specific and found in the data manual. Use edge selection to shape EDMA trigger behavior.","Section 1.2; Section 2.10.1; Section 2.11; Section 3.2 note","Explicit","EDMA channel mapping; BINTEN enable; Edge trigger configuration; PSC clock enable","YES","Coordinate interrupt and EDMA usage to avoid double-handling the same edge if both are enabled."
"TMS320C6452 DSP GPIO","Power management and low-power behavior via PSC","Power","The PSC can place the GPIO peripheral into reduced-power states during inactivity. While in low power, interrupt/event generation is suspended, but output pins retain their last driven state. Restoring the module from low power resumes normal edge detection and sampling. Proper PSC sequencing is required to avoid glitches. Power policy should consider wake sources and bank enables.","Section 2.12","Explicit","PSC power state transitions; BINTEN and edge config revalidation on resume","YES","Reinitialize or verify configuration after power cycling the peripheral to ensure expected behavior."
